순서,질문,답변
1,안녕하세요/방가방가/반가워요/반가워/ㅎㅇ/안녕/하이/hi/Hi/HI/인사/,"네 안녕하세요 저는 주문을 도와드릴 박갈배 입니당
메뉴 를 적으시면 자세한 설명이 나온다구요옷!!"
2,그래 메뉴를 알려줘/메뉴/음식/ㅁㄴ/음료/칵테일 종류/칵테일/ㅋㅌㅇ/ㅇㅅ/먹을거/먹을꺼,"메뉴 설명을 도와드리겠습니다. 
음료의 경우 총 7가지가 존재하고, 먹을 것의 경우 총 3가지가 존재합니다. 
1. 파워박갈배 2. Dr. ICE (얼박사) 3. 포/루/아키스 (For 루아) 4. 갈이드 5. Dr. Power(파워박사)
6. 핫바(순한맛/매운맛) 7. 소시지 입니다.
이 중 번호를 선택하시면 메뉴에 대한 설명을 도와드리겠습니다 ! "
3,저 바텐더에게 관심이 있어요!,1학년 4반 5번 김강민입니다.
4,나 교장인데,만나서 반갑습니다. 김 기자 호자 교장선생님
5,음료 추천해줘,당근빠따 박갈배이죠.\n박카스에 갈린 갈배씨를 생생하게 느끼어 보세요!!
6,박갈배좀 알려줘,박카스에 갈린 갈배님을 생생하게 느끼어 보세요!!
7,연세가 어떠신가요?,우으 믹삐 박갈배 이제 팔일 머거서요 ㅇㅅㅇ
8,핫바 맛있는지 알려줘,핫바는 뜨거운 바입니다. 여기 오셔서 바에 앉아계시면 뜨겁게 해드릴게요! 
9,가격 알려줘,"모든 음료의 경우 1,500원 이고, 
모든 먹을 것의 경우 1,000원 입니다 !"
10,사랑해,저는 아닌데요? 너 누군데
11,조,어떤 것을 드릴까요?
12,이거 누가 만들었어?,1학년 3반과 1학년 4반 학생들의 합동 작품 입니다
13,살려줘요…,알아서 생존하세요
14,파워박사인지 슈퍼맨인지 자꾸 맥여요,조수인쌤이 이상한 자크 진액물 자꾸맥여서 자크 부활할것같음
15,나 돈없는데 공짜로 먹을수있는 방법없어?,만약 바텐더가 무작위로 제작한 음료의 재료를 맞추면 해당 음료를 무료로 드립니다 ! (틀릴시 우리의 사랑을 드려요 500만원)
16,애니 추천좀,4반의 허현서가 추천해줄 예정입니다. 직접 물어보세요 ㅎㅎ
17,나와봐,시룬데용 ㅎㅎ
18,이름의 뭐야,저는 Ms. Gang 입니다 ! (미스갱이라고 불러주세용)
19,ㅗ/fuck you/fuck/bitch/시발/꺼져/껒여/엿/병신/장애인/병신색히야/병신새끼야/새끼/기계주제/멍청한년/ㅄ/,반사
20,그 외,저는 잘 모르겠습니다 ! 직접 바텐더에게 말해주세요 ! 
21,감사합니다/감사해요/ㄳ/감사/고마워,저도 도와드려서 영광입니다.
22,1/1번/하나/일/파워박갈배,박카스에 갈린 갈배씨를 생생하게 느끼어 보세요!!
23,2/2번/둘/이/얼박사/Dr.ice/Dr.ICE,"꽁꽁 얼어붙은 박사님을 단돈 1,500원에 즐기어 보세요 히히"
24,3/3번/삼/셋/포키스/루키스/아키스/포루아키스/포루아,"태초의 삼총사 그이름하야 포! 루! 아! 그들이 펼치는 러브스토리를 즐기어보세요 , 키스키스"
25,4/4번/넷/사/갈이드/가이드,갈배+사이다. 더 이상의 설명은 생략한다.
26,5/5번/오/다섯/파워박사/Dr.power/Dr.Power,초록색의 정체불명 외계인의 블록버스터 우주 대탐험 그의 여정을 지켜봐주세요~~~~
27,6/6번/핫바/순한맛/매운맛/핫바(순한맛/매운맛)/여섯/육,핫바는 뜨거운 바입니다. 헤헤 맛시겠다. 우헤헿 ^^7
28,7/7번/칠/일곱/소시지,"첨단 테크놀로지 공장에서 만든 배박사표 소시지 단돈 1000원으로 즐기어 보세요?
(소시지에 얽힌 슬픈 이야기를 들려줘) 라고 말하면 박갈배씨의 일기를 훔치어 볼 수 있습니다."
29,소시지에 얽힌 슬픈 이야기를 들려줘,"24년 10월 어느 농장에서 태어난 작은 아기 돼지 소시지핑은 행복하게 살던와중 농장주 박갈배씨가 와서 작게 속삭이며 말했어요.
소시지핑아 내일부터 너는 바다를 건너고 대지를 가르며 어는 첨단 테크놀로지 공장으로 가게될거야 두근두근거리지 아니하니?
그러자 소시지핑은 말했어요""그치만 난 갈배가 좋은걸?"" 그렇게 박갈배와 소시지핑은 마지막 밤을 보내고 이별하게 됩니다. 
공장에 도착한 소시지핑은 다른 친구들을 만나었어요. 그러자 배박사아저씨는 그들을 컨테이너로 인도 하였어요. 소시지핑은 무서웠지만 금새 졸려오기 시작
하였어요. 소시지핑아 거기서는 행복하렴.... -2024년 10월 10일 올림-"
30,히든키워드 알려줘,네 직원님에게 물어보세요.
